Composition,Uses
Pioglitazone (15mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Metoclopramide (15mg),Treatment of NauseaTreatment of VomitingTreatment of IndigestionTreatment of Heartburn
Metoprolol Succinate (11.8mg),Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine
Cefpodoxime Proxetil (200mg),Treatment of Bacterial infections
Aspirin (75mg) + Rosuvastatin (10mg) + Clopidogrel (75mg), Heart attack
Paroxetine (25mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Prulifloxacin (600mg), Urinary tract infections (UTIs)
Prucalopride (1mg),Treatment of Constipation
Alpha glycerylphosphorylcholine (250mg) + Piracetam (800mg), Cognitive enhancer
Pregabalin (50mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Methylcobalamin (1500mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Methylcobalamin (1500mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Ciclosporin (100mg), Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome
Pirfenidone (200mg),Treatment of Idiopathic pulmonary fibrosis
Chlorzoxazone (250mg) + Diclofenac (50mg) + Paracetamol (325mg),Treatment of Pain due to muscle spasm
Pramipexole (0.5mg), Parkinson's disease Restless leg syndrome
Clopidogrel (75mg), Prevention of heart attack and stroke Heart attack Peripheral vascular disease
Chlorpheniramine Maleate (2.5mg) + Ammonium Chloride (125mg) + Sodium Citrate (55mg), Cough
Paracetamol (250mg/5ml), Pain reliefTreatment of Fever
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Aspirin (75mg) + Clopidogrel (75mg), Prevention of heart attack and stroke
Oxetacaine (10mg/5ml) + Aluminium Hydroxide (250mg/5ml) + Dimethicone (50mg/5ml) + Magnesium (250mg/5ml), Acidity Stomach ulcers Bloating
Prednisolone (1% w/v),Treatment of Redness and swelling in the eye
Denosumab (60mg), Osteoporosis
Tacrolimus (1mg), Prevention of organ rejection in transplant patients
Cefalexin (250mg),Treatment of Bacterial infections
Paroxetine (25mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Metoclopramide (5mg),Treatment of NauseaTreatment of VomitingTreatment of IndigestionTreatment of Heartburn
Methylcobalamin (1500mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Pregabalin (75mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Hydroxyzine (10mg),Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
Ketoconazole (2% w/v) + Coal Tar (4% w/v),Treatment of Dandruff
Cinacalcet (30mg),Treatment of High calcium levels in the bloodTreatment of Hyperparathyroidism
Eplerenone (25mg) + Torasemide (10mg), Edema
Pantoprazole (40mg) + Itopride (150mg), Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Dabigatran Etexilate (110mg),Treatment and prevention of Blood clots
Prasugrel (10mg) + Aspirin (75mg), Heart attackPrevention of Stroke
Domperidone (30mg) + Rabeprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Prucalopride (2mg),Treatment of Constipation
Benzoyl Peroxide (4% w/w),Treatment of Acne
Clobetasol (0.05% w/w) + Clotrimazole (1% w/w) + Fusidic Acid (2% w/w),Treatment of Skin infections
Pregabalin (50mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Pregabalin (75mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Olopatadine (0.2% w/v),Treatment of Allergic conditions
Hydroxyprogesterone (250mg/ml),Prevention of Premature Labor
Mesalazine (1gm), Ulcerative colitis Crohn’s disease
Ambrisentan (5mg) + Tadalafil (20mg),Treatment of Pulmonary arterial hypertension (PAH)
Dabigatran Etexilate (150mg),Treatment and prevention of Blood clots
Sodium Picosulfate (3.33mg) + Liquid Paraffin (1.25ml) + Milk Of Magnesia (3.75ml),Treatment of Constipation
Simvastatin (20mg) + Ramipril (5mg) + Atenolol (50mg) + Hydrochlorothiazide (12.5mg) + Aspirin (100mg), Prevention of heart attack and stroke
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Cefuroxime (250mg),Treatment of Bacterial infections
Hydroxyzine (25mg),Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
Pramipexole (0.125mg), Parkinson's disease Restless leg syndrome
Pantoprazole (40mg) + Itopride (150mg), Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease
Clobetasol (0.05% w/w) + Salicylic Acid (3% w/w),Treatment of EczemaTreatment of Psoriasis
Metoprolol Succinate (50mg) + Ramipril (5mg), Hypertension (high blood pressure)
Paracetamol (100mg/ml), Pain reliefTreatment of Fever
Famciclovir (500mg), Herpes labialis Herpes Simplex Virus Infections Shingles Genital herpes infection
Cilostazol (100mg),Treatment of Intermittent claudication
Prasugrel (10mg),Prevention of Heart attackPrevention of Stroke
Sevelamer (400mg), High phosphate levels in blood
Mesalazine (500mg), Ulcerative colitis Crohn’s disease
Tranexamic Acid (500mg) + Tribasic Calcium Phosphate (144mg) + Menadione (20mcg) + Citrus Bioflavonoid (150mg), Heavy menstrual bleeding
Pioglitazone (7.5mg),Treatment of Type 2 diabetes mellitus
Methylcobalamin (1500mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Gabapentin (100mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Fluoxetine (10mg),Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder
Levosulpiride (75mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)
Chloramphenicol (125mg/5ml), Bacterial infections
Placenta Extracts (0.1gm), Pelvic inflammatory disease
Pilocarpine (5mg), Dry mouth after radiotherapy of head and neck cancer
Clobetasol (0.05% w/w) + Clotrimazole (1% w/w) + Fusidic Acid (2% w/w),Treatment of Skin infections
Chlorpheniramine Maleate (1mg/5ml) + Dextromethorphan Hydrobromide (5mg/5ml),Treatment of Dry cough
Nortriptyline (25mg), Depression Bed-wetting Neuropathic pain
Tacrolimus (1mg), Prevention of organ rejection in transplant patients
Ciclosporin (50mg), Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome
Domperidone (30mg) + Rabeprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Sildenafil (25mg),Treatment of Erectile dysfunction
Methylcobalamin (750mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Pimecrolimus (1% w/w), Atopic dermatitis
Rabeprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Naproxen (500mg), Pain relief
Carboxymethylcellulose (0.5% w/v),Treatment of Dry eyes
Paracetamol (125mg/5ml), Pain reliefTreatment of Fever
Pregabalin (50mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Podophyllum resin (25% w/v) + Benzoin (10% w/v) + Aloe Vera (2% w/v) + Salicylic Acid (5% w/v), Warts
Ondansetron (4mg),Treatment of NauseaTreatment of Vomiting
Ondansetron (2mg/5ml),Treatment of Nausea Vomiting
Gabapentin (100mg),Treatment of Neuropathic painTreatment of Epilepsy/Seizures
Pantoprazole (20mg),Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Aspirin (75mg) + Rosuvastatin (20mg) + Clopidogrel (75mg), Heart attack
Paroxetine (10mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Dosulepin (50mg) + Methylcobalamin (1500mcg), Neuropathic pain
Pregabalin (75mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Meclizine (25mg), Motion sickness Vertigo
Calcipotriol (0.005% w/w), Psoriasis
Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Pantoprazole (40mg),Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Ketoconazole (2% w/w), Fungal skin infections
Paroxetine (12.5mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Pilocarpine (2% w/v),Treatment of Glaucoma
Diphtheria Toxoid (30IU) + Tetanus Toxoid (40IU) + Pertussis Toxoid (4IU) + Hepatitis B Vaccine (rDNA) (10mcg) + Haemophilus Type B Conjugate Vaccine (10mcg),Prevention of DiphtheriaPrevention of TetanusPrevention of Pertussis Prevention of Hepatitis B infectionPrevention of Haemophilus influenzae Type b disease
Pitavastatin (2mg), High cholesterol Prevention of heart attack and stroke
Sildenafil (50mg),Treatment of Erectile dysfunction
Propranolol (20mg),Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors
Pregabalin (50mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Pregabalin (75mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Alpha Lipoic Acid (100mg) + Folic Acid (1.5mg) + Methylcobalamin (750mcg) + Pregabalin (75mg) + Vitamin B6 (Pyridoxine) (1.5mg), Neuropathic pain
Methylcobalamin (750mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Olmesartan Medoxomil (20mg), Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke
Prucalopride (2mg),Treatment of Constipation
Pregabalin (75mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Diclofenac (50mg), Pain relief
Pregabalin (50mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Sodium Picosulfate (2.5mg/5ml),Treatment of Constipation
Pantoprazole (40mg),Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Ambrisentan (5mg), Pulmonary arterial hypertension (PAH)
Chloramphenicol (10mg) + Dexamethasone (1mg) + Polymyxin B (10000IU),Treatment of Bacterial eye infections
Pramipexole (0.25mg), Parkinson's disease Restless leg syndrome
Paracetamol (125mg/5ml), Pain reliefTreatment of Fever
Levocloperastine (20mg/5ml),Treatment of Dry cough
Aspirin (150mg) + Clopidogrel (75mg), Prevention of heart attack and stroke
Prucalopride (2mg),Treatment of Constipation
Adapalene (0.1% w/w) + Benzoyl Peroxide (2.5% w/w), Acne
Domperidone (30mg) + Rabeprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Amoxycillin  (400mg/5ml) +  Clavulanic Acid (57mg/5ml),Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections
Povidone Iodine (0.50% w/v),Treatment and prevention of Wound infection
Sodium Picosulfate (10mg),Treatment of Constipation
Voglibose (0.3mg),Treatment of Type 2 diabetes mellitus
Pirfenidone (400mg),Treatment of Idiopathic pulmonary fibrosis
Cefalexin (250mg/5ml),Treatment of Bacterial infections
Pantoprazole (40mg),Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Cefalexin (250mg/5ml),Treatment of Bacterial infections
Mefenamic Acid (50mg/5ml) + Paracetamol (125mg/5ml), Pain reliefTreatment of Fever
Clobetasol (0.05% w/w) + Salicylic Acid (3.5% w/w),Treatment of EczemaTreatment of Psoriasis
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Pegfilgrastim (6mg),Prevention of Infections after chemotherapy
Cefpodoxime Proxetil (100mg/5ml),Treatment of Bacterial infections
Pioglitazone (30mg),Treatment of Type 2 diabetes mellitus
Citric Acid (334mg/5ml) + Potassium Citrate (1100mg/5ml),Treatment of Kidney stone
Ambroxol (15mg/5ml) + Guaifenesin (50mg/5ml) + Levocetirizine (2.5mg/5ml) + Menthol (1mg/5ml), Cough with mucus
Potassium Citrate (1080mg), Nutritional deficiencies
Clobetasol (0.05% w/w) + Miconazole (2% w/w) + Neomycin (0.5% w/w),Treatment of Skin infections
Methylcobalamin (1500mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Mesalazine (2gm), Ulcerative colitis Crohn’s disease
Levosulpiride (75mg) + Rabeprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Intestinal ulcersTreatment of Irritable bowel syndrome
Pramipexole (0.375mg), Parkinson's disease Restless leg syndrome
Paracetamol (500mg), Pain reliefTreatment of Fever
Tacrolimus (0.5mg), Prevention of organ rejection in transplant patients
Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Fluocinolone acetonide (0.01% w/v), Dandruff
Metoprolol Succinate (95mg),Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine
Paracetamol (325mg), Pain reliefTreatment of Fever
Benzoyl Peroxide (5% w/w) + Clindamycin (1% w/w), Acne
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Paracetamol (650mg), Pain reliefTreatment of Fever
Sevelamer (800mg), High phosphate levels in blood
Ambroxol (30mg/5ml) + Levosalbutamol (1mg/5ml) + Guaifenesin (50mg/5ml),Treatment of Cough with mucus
Pantoprazole (40mg),Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Paracetamol (1000mg), Pain reliefTreatment of Fever
Paracetamol (300mg) + Paracetamol (700mg), Pain relief Fever
Bilastine (20mg),Treatment of Allergic conditions
Prucalopride (1mg),Treatment of Constipation
Silodosin (4mg),Treatment of Benign prostatic hyperplasia
Cefalexin (750mg),Treatment of Bacterial infections
Paracetamol (650mg), Pain reliefTreatment of Fever
Sulphacetamide (15% w/v) + Zinc Sulphate Monohydrate (0.1% w/v) + Chlorpheniramine Maleate (0.01% w/v) + Boric Acid (2% w/v) + Sodium Chloride (0.90% w/v) + Chlorbutol (0.5% w/v),Treatment of Bacterial eye infections
Paroxetine (12.5mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Tranexamic Acid (250mg) + L Glutathione Reduced (250mg) + L Ascorbic acid (500mg), Melasma Hyperpigmentation
Clobetasol (0.05% w/w) + Clotrimazole (1% w/w),Treatment of Fungal skin infections
Amoxycillin (750mg) + Clarithromycin (500mg) + Esomeprazole (40mg),Treatment of Peptic ulcer disease
Methylcobalamin (750mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Estradiol (1mg), Hormone replacement therapy
Prednisolone (1% w/v),Treatment of Redness and swelling in the eye
Pregabalin (75mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Cyproheptadine (4mg),Treatment of Allergic conditions Appetite stimulant
Ketoconazole (200mg), Fungal infections
Methylcobalamin (750mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Pantoprazole (40mg),Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Ondansetron (2mg),Treatment of Nausea Vomiting
Prucalopride (1mg),Treatment of Constipation
Paracetamol (125mg), Pain reliefTreatment of Fever
Pantoprazole (40mg),Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Conjugated Estrogens (0.3mg), Hormone replacement therapyPrevention of Post menopausal osteoporosis
Domperidone (10mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Pregabalin (75mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Povidone Iodine (5% w/w) + Ornidazole (1% w/w), Wound infection
Prazosin (5mg),Treatment of Hypertension (high blood pressure)Treatment of Heart failureTreatment of Benign prostatic hyperplasia
Methylcobalamin (750mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Propranolol (10mg),Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors
Pramipexole (1mg), Parkinson's disease Restless leg syndrome
Prucalopride (2mg),Treatment of Constipation
Cefpodoxime Proxetil (200mg) + Clavulanic Acid (125mg),Treatment of Respiratory tract infection
Lidocaine (3% w/w) + Calcium Dobesilate (0.25% w/w) + Hydrocortisone (0.25% w/w) + Phenylephrine (0.1% w/w) + Zinc Oxide (5% w/w) + Troxerutin (2% w/w),Treatment of Piles
Olmesartan Medoxomil (40mg), Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke
Glimepiride (1mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Paroxetine (37.5mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Pramipexole (0.5mg), Parkinson's disease Restless leg syndrome
Pregabalin (75mg) + Methylcobalamin (750mcg) + Alpha Lipoic Acid (100mg), Neuropathic pain
Minoxidil (5% w/v),Treatment of Hair loss
Beclometasone (0.025% w/w), Skin conditions with inflammation & itchingTreatment of Asthma
Pregabalin (150mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Paracetamol (250mg/5ml), Pain reliefTreatment of Fever
Becaplermin (100mcg), Diabetic foot ulcers
Methylcobalamin (1500mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Pramipexole (0.75mg), Parkinson's disease Restless leg syndrome
Tacrolimus (2mg), Prevention of organ rejection in transplant patients
Methylcobalamin (750mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Pitavastatin (4mg), High cholesterol Prevention of heart attack and stroke
Heparin (1000IU/ml),Prevention of Blood clots
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Trifluoperazine (5mg) + Trihexyphenidyl (2mg), Schizophrenia
D-Panthenol (5% w/w), Eye injury
Fluoxetine (60mg),Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder
Benzocaine (10mg) + Magaldrate (800mg) + Simethicone (125mg), Acidity Heartburn Stomach ulcers
Cefixime (200mg),Treatment of Bacterial infections
Clopidogrel (75mg), Prevention of heart attack and stroke Heart attack Peripheral vascular disease
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Paracetamol (125mg/5ml), Pain reliefTreatment of Fever
Hydroxyprogesterone (500mg),Prevention of Premature Labor
Piroxicam (20mg), Pain relief
Mesalazine (1gm),Treatment of Ulcerative colitis
Benzathine penicillin G (600000IU),Treatment of Bacterial infectionsTreatment of SyphilisPrevention of Rheumatic fever
Pregabalin (75mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Levosulpiride (75mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)
Citicoline (500mg) + Piracetam (800mg), Stroke
Pancreatin (180mg),Treatment of Pancreatic enzyme deficiency
Guaifenesin (50mg/5ml) + Terbutaline (1.25mg/5ml) + Ambroxol (30mg/5ml) + Ammonium Chloride (100mg/5ml) + Menthol (1mg/5ml), Cough
Pantoprazole (40mg),Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Famciclovir (250mg), Herpes labialis Herpes Simplex Virus Infections Shingles Genital herpes infection
Human Normal Immunoglobulin (95%), Immunoglobulins deficiency
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Proanthocyanidin (75mg), Varicose veins
Clobetasol (0.05% w/w) + Neomycin (0.5% w/w),Treatment of Bacterial skin infections
Estradiol (4mg), Hormone replacement therapy
Sodium Picosulfate (5mg/5ml),Treatment of Constipation
Diclofenac (100mg), Pain relief
Levosulpiride (75mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)
Griseofulvin (500mg), Fungal infections
Levosulpiride (75mg) + Rabeprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Intestinal ulcersTreatment of Irritable bowel syndrome
Amoxycillin  (200mg) +  Clavulanic Acid (28.5mg),Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections
Tacrolimus (0.5mg), Prevention of organ rejection in transplant patients
Amoxycillin  (500mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Cefalexin (375mg),Treatment of Bacterial infections
Progesterone (Natural Micronized) (200mg), Hormone replacement therapyTreatment of Female infertility
Pregabalin (75mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Pregabalin (75mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Metformin (500mg) + Voglibose (0.3mg),Treatment of Type 2 diabetes mellitus
Human chorionic gonadotropin (hCG) (5000IU),Treatment of Female infertilityTreatment of Male hypogonadism
Papaverine (60mg), Erectile dysfunction Peripheral vascular disease
Pramipexole (0.26mg), Parkinson's disease Restless leg syndrome
Domperidone (10mg) + Pantoprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Olopatadine (5mg),Treatment of Allergic conditions
Prasugrel (10mg),Prevention of Heart attackPrevention of Stroke
Flupirtine (100mg) + Paracetamol (325mg), Pain relief
Pioglitazone (30mg),Treatment of Type 2 diabetes mellitus
Domperidone (10mg) + Pantoprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Pancreatin (360mg),Treatment of Pancreatic enzyme deficiency
Sildenafil (25mg),Treatment of Erectile dysfunction
Dextromethorphan Hydrobromide (10mg/5ml) + Guaifenesin (100mg/5ml) + Phenylephrine (5mg/5ml) + Chlorpheniramine Maleate (4mg/5ml), Dry cough
Clobetasol (0.05% w/w) + Salicylic Acid (3% w/w) + Lactic Acid (3% w/w) + Urea (10% w/w), Eczema Psoriasis
Progesterone (Natural Micronized) (300mg), Hormone replacement therapyTreatment of Female infertility
Methylcobalamin (750mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Adapalene (0.1% w/w) + Benzoyl Peroxide (2.5% w/w), Acne
Pregabalin (75mg) + Nortriptyline (10mg) + Methylcobalamin (1500mcg),Treatment of Neuropathic pain
Trihexyphenidyl (2mg),Treatment of Parkinson's diseaseTreatment of Drug induced abnormal movements
Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Domperidone (10mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Paroxetine (37.5mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Estradiol (2mg), Hormone replacement therapy
Pioglitazone (15mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Potassium Chloride (1.5gm), Potassium deficiency
Clotrimazole (1% w/w),Treatment of Fungal skin infections
Pregabalin (75mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Paroxetine (25mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Amorolfine (0.25% w/w), Fungal nail infections
Levosulpiride (75mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)
Pramipexole (0.125mg), Parkinson's disease Restless leg syndrome
Paroxetine (12.5mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Progesterone (Natural Micronized) (300mg), Hormone replacement therapyTreatment of Female infertility
Methylcobalamin (750mcg) + Pregabalin (150mg),Treatment of Neuropathic pain
Beclometasone (0.025% w/w) + Ketoconazole (2% w/w),Treatment of Fungal skin infections
Ciclosporin (100mg), Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome
Pioglitazone (15mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Allantoin (0.5% w/w) + Clindamycin (1% w/w) + Niacinamide (4% w/w),Treatment of Acne
Levosulpiride (75mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)
Paracetamol (500mg), Pain reliefTreatment of Fever
Minoxidil (10% w/v),Treatment of Hair loss
Methylcobalamin (750mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Aspirin (75mg) + Clopidogrel (75mg), Prevention of heart attack and stroke
Pantoprazole (40mg),Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Pregabalin (75mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Methylprednisolone (8mg),Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders
Prucalopride (2mg),Treatment of Constipation
Hydroxyzine (25mg),Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
Pantoprazole (40mg),Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Pramipexole (1.5mg), Parkinson's disease Restless leg syndrome
Paroxetine (10mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Amlodipine (5mg) + Atenolol (50mg),Treatment of Hypertension (high blood pressure)
Canagliflozin (100mg),Treatment of Type 2 diabetes mellitus
Measles Vaccine (Live) (1000ccid50) + Mumps Virus Vaccine (5000ccid50) + Rubella vaccine (Live) (1000ccid50), Prevention of Measles Prevention of Rubella Prevention of Mumps
Desoximetasone (0.25% w/w), Skin conditions with inflammation & itching
Cefalexin (125mg),Treatment of Bacterial infections
Paracetamol (100mg/ml), Pain reliefTreatment of Fever
Magnesium Citrate (375mg/5ml) + Potassium Citrate (1100mg/5ml), Kidney stone
Methylcobalamin (750mcg) + Pregabalin (150mg),Treatment of Neuropathic pain
Methylprednisolone (4mg),Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders
